FIPS,county,total_pop,uninsured_pop,percent_uninsured
raphy,Geographic Area Name,,,
06001,Alameda,1647749.0,72076.0,4.374209906970054
06003,Alpine,,,
06005,Amador,,,
06007,Butte,223229.0,13734.0,6.152426432049599
06009,Calaveras,,,
06011,Colusa,,,
06013,Contra Costa,1137149.0,57973.0,5.0981006007128356
06015,Del Norte,,,
06017,El Dorado,187280.0,8571.0,4.576569841947886
06019,Fresno,973266.0,81164.0,8.339344023113927
06021,Glenn,,,
06023,Humboldt,135003.0,11094.0,8.217595164551899
06025,Imperial,170981.0,13758.0,8.046508091542336
06027,Inyo,,,
06029,Kern,859905.0,68254.0,7.937388432443119
06031,Kings,133994.0,10065.0,7.51153036703136
06033,Lake,,,
06035,Lassen,,,
06037,Los Angeles,10012895.0,965181.0,9.6393800194649
06039,Madera,147253.0,12202.0,8.286418612863574
06041,Marin,255421.0,8987.0,3.518504743149545
06043,Mariposa,,,
06045,Mendocino,86352.0,7413.0,8.584630350194553
06047,Merced,268611.0,22377.0,8.330634262930408
06049,Modoc,,,
06051,Mono,,,
06053,Monterey,417249.0,40995.0,9.825068484286362
06055,Napa,137806.0,8072.0,5.857509832663309
06057,Nevada,,,
06059,Orange,3151089.0,239031.0,7.58566324213629
06061,Placer,382926.0,15444.0,4.033155231036806
06063,Plumas,,,
06065,Riverside,2389375.0,209289.0,8.75915249803819
06067,Sacramento,1510932.0,82754.0,5.477016834642459
06069,San Benito,,,
06071,San Bernardino,2099054.0,176546.0,8.410741219616074
06073,San Diego,3216326.0,252036.0,7.836145962815959
06075,San Francisco,870863.0,31903.0,3.6633775921126515
06077,San Joaquin,732477.0,47119.0,6.432829972818259
06079,San Luis Obispo,275626.0,16673.0,6.049139050742673
06081,San Mateo,763665.0,31888.0,4.175652936824393
06083,Santa Barbara,437669.0,43878.0,10.025384480052278
06085,Santa Clara,1917643.0,82404.0,4.297150199489686
06087,Santa Cruz,272491.0,13989.0,5.133747536615888
06089,Shasta,177761.0,11546.0,6.495237988085125
06091,Sierra,,,
06093,Siskiyou,,,
06095,Solano,429483.0,20266.0,4.71869666552576
06097,Sonoma,495516.0,30184.0,6.091427925637114
06099,Stanislaus,540181.0,30689.0,5.68124387936636
06101,Sutter,94654.0,7590.0,8.018678555581381
06103,Tehama,,,
06105,Trinity,,,
06107,Tulare,457857.0,37117.0,8.106679596467893
06109,Tuolumne,,,
06111,Ventura,840257.0,73921.0,8.79742745374332
06113,Yolo,215938.0,10466.0,4.846761570450777
06115,Yuba,,,
